ordinal,ordinal,nominal,nominal,ordinal,ordinal,ordinal,nominal,nominal,nominal,ordinal,nominal,nominal,nominal,ordinal,ordinal,ordinal,nominal,ordinal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal
1,0,1,1,2,1,19,0,0,1,27,0,1,1,2,2,13.7,0,1,1,0,1,1,0,1,0,0,1
1,0,1,0,4,3,24,1,0,0,78,0,0,0,4,5,38.5,0,4,0,0,0,0,0,0,0,0,1
1,5,1,0,2,1,28,0,0,0,28,0,1,0,2,2,13.6,0,1,1,0,1,0,0,1,0,0,1
1,4,1,1,3,3,26,1,0,1,74,1,1,1,5,2,37.3,0,1,1,0,1,0,1,1,0,0,1
1,11,1,1,2,2,32,1,0,1,48,1,1,1,4,3,23.3,0,2,0,0,1,0,0,1,0,0,1
1,19,1,0,1,1,61,0,0,0,9,1,1,1,2,1,4.6,1,3,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,24,0,0,0,16,1,1,0,4,4,7.8,0,2,0,1,1,1,1,1,0,0,0
1,4,1,1,4,3,26,0,0,1,87,0,1,0,5,1,44,0,1,0,0,1,0,0,1,0,0,1
1,0,1,1,1,1,24,0,0,1,15,1,1,1,1,1,7.5,0,1,1,1,1,0,1,1,0,0,1
1,0,1,1,2,2,21,0,0,1,39,1,0,1,3,1,19.7,0,1,1,0,1,0,1,1,0,0,1
1,0,1,1,1,1,20,0,0,1,14,1,1,1,3,3,6.9,0,3,1,0,1,1,0,1,0,0,1
1,1,1,1,1,1,20,0,0,1,16,1,0,0,3,3,7.9,0,1,1,0,1,0,0,1,0,0,1
1,18,0,0,4,3,37,1,0,0,113,8,0,0,4,4,55.1,0,1,0,1,0,0,0,0,0,0,1
1,2,0,0,2,1,21,0,0,0,29,1,0,1,3,4,14.8,0,1,0,0,0,0,0,1,0,0,1
1,1,1,1,3,2,20,0,0,0,50,0,0,1,3,1,24.2,0,1,0,0,1,0,1,1,0,0,1
1,0,1,1,1,1,19,0,0,0,12,1,0,1,2,1,5.7,0,2,1,0,1,0,0,1,0,0,1
1,9,0,0,1,1,30,1,0,0,15,0,0,1,4,4,7.4,0,1,0,1,1,0,0,0,0,0,0
1,0,1,0,1,1,19,0,0,1,19,1,0,1,2,3,9.5,0,1,1,0,0,0,1,1,0,0,1
1,22,1,1,1,1,45,0,0,1,17,1,1,1,2,1,8.6,0,3,1,1,1,0,1,1,0,0,1
1,4,0,0,1,1,25,1,0,1,15,1,1,0,3,2,7.3,0,1,0,1,1,0,1,0,0,0,1
1,10,1,1,2,1,34,0,0,0,26,0,0,1,3,2,12.9,0,1,1,1,1,0,0,1,0,0,1
1,19,1,1,3,3,42,0,0,1,72,0,1,0,4,3,35.1,0,2,0,0,1,0,0,1,0,0,1
1,2,1,0,2,2,22,1,0,1,37,1,1,0,3,4,19.1,0,1,0,0,1,0,1,1,0,0,0
1,11,1,0,2,2,39,1,0,1,39,0,1,1,3,4,19.4,0,1,1,1,1,0,1,1,0,0,1
1,6,1,1,2,2,29,0,0,0,33,1,0,1,3,1,16.3,0,4,1,0,1,0,1,1,0,0,1
1,1,1,1,1,1,22,0,0,1,21,1,0,1,4,1,10.4,0,2,1,0,1,1,1,1,0,1,1
1,42,0,0,1,1,70,1,0,1,9,0,1,0,5,3,4.5,1,1,0,1,1,1,0,0,0,1,1
1,10,1,1,2,2,37,0,0,1,36,8,1,1,2,1,18.1,0,1,1,1,1,0,1,1,0,0,1
1,1,1,1,1,1,22,1,0,0,17,1,0,0,3,7,8.3,0,2,0,0,1,0,0,1,0,1,1
1,0,0,0,1,1,19,0,0,0,20,1,0,1,2,1,9.9,0,1,0,0,1,0,0,0,0,0,1
1,0,1,1,1,1,18,1,0,0,14,1,1,1,2,3,6.8,0,1,0,0,1,0,1,1,0,0,1
1,1,1,1,2,2,28,0,0,1,31,1,1,1,3,1,15.2,0,1,1,0,1,0,1,1,0,0,1
1,4,1,1,1,1,23,0,0,1,24,1,0,0,3,2,11.7,0,1,1,0,1,0,1,0,0,0,1
1,2,1,1,2,1,23,1,0,1,28,0,1,0,4,5,13.8,0,3,0,1,0,0,0,0,0,0,1
1,27,1,1,1,1,52,0,0,1,16,1,0,1,3,1,8,0,1,1,0,1,0,1,1,0,0,1
1,4,1,1,1,1,29,0,0,1,18,0,1,1,2,1,9.1,0,1,1,0,1,0,1,1,0,0,1
1,26,1,0,2,2,54,0,0,1,31,0,0,1,3,1,15.7,0,1,1,0,1,0,0,1,0,0,1
1,4,1,1,1,1,24,0,0,0,16,1,1,1,3,1,8,0,1,1,1,1,0,0,1,0,0,0
1,6,1,1,2,2,30,0,0,0,48,1,0,1,4,1,23.4,0,1,0,1,1,0,0,1,0,0,1
1,0,1,1,1,1,21,1,0,0,18,1,0,1,2,4,9.1,0,1,0,1,1,1,0,1,0,0,1
1,6,0,1,2,2,28,0,0,0,41,0,1,0,5,1,20,0,2,0,0,0,0,0,1,0,0,1
1,17,1,1,1,1,40,1,0,0,16,1,0,0,1,3,8,0,1,0,1,0,0,1,1,0,0,1
1,10,1,1,1,1,40,0,0,1,16,1,1,1,1,1,7.9,0,1,1,1,1,0,1,1,0,0,1
1,9,1,0,3,3,35,0,0,1,70,1,1,0,3,1,35.5,0,1,0,1,0,0,1,1,0,0,1
1,0,1,1,2,1,28,1,0,1,30,1,1,1,3,4,14.4,0,1,1,1,1,0,0,1,0,0,1
1,1,1,1,2,1,40,0,0,1,25,1,1,1,4,1,12.3,0,1,1,1,1,0,1,1,0,0,1
1,3,1,1,2,2,25,1,0,1,41,0,1,1,4,4,20.7,0,1,0,0,1,0,0,1,0,0,1
1,16,1,1,2,2,37,1,0,1,35,0,1,0,5,3,17.3,0,1,0,1,0,0,0,1,0,0,1
1,15,0,0,1,1,42,1,0,1,17,1,1,0,1,4,8.4,0,5,1,1,1,0,1,1,0,0,0
1,0,1,1,1,1,20,1,0,0,14,0,0,1,3,5,6.8,0,1,0,0,1,1,0,1,0,1,1
1,0,1,1,1,1,19,1,0,0,20,1,1,0,2,6,10,0,3,1,0,0,0,0,1,0,0,1
1,2,1,1,3,3,25,0,0,1,59,0,1,0,3,3,30,0,1,1,0,1,0,0,1,0,0,1
1,1,1,1,2,2,48,1,0,1,31,0,1,1,3,2,15.3,0,1,0,0,1,0,0,1,0,0,1
1,2,0,1,1,1,22,0,0,0,21,1,1,1,1,2,10.3,0,1,1,1,1,0,1,1,0,0,1
1,24,1,1,2,2,44,0,0,1,38,1,1,1,3,5,18.8,0,1,1,0,1,0,0,1,0,0,1
1,15,0,0,1,1,40,0,0,0,21,1,1,1,1,1,10.3,0,1,1,0,1,0,1,1,0,0,1
1,5,1,1,1,1,28,0,0,1,23,1,0,0,4,2,11.7,0,1,1,0,1,0,1,1,0,0,1
1,17,1,1,2,2,41,1,0,1,34,1,1,1,1,4,16.6,0,2,1,1,1,0,1,1,0,0,1
1,2,1,1,1,1,26,0,0,0,18,1,0,1,2,3,8.9,0,1,1,1,1,0,0,1,0,0,1
1,4,1,1,1,1,24,0,0,0,16,1,0,1,4,3,8,0,1,0,0,1,0,0,0,0,0,1
1,4,1,0,2,2,24,0,0,0,31,0,0,0,4,1,15.2,0,1,0,1,1,0,1,1,0,0,1
1,0,1,1,4,3,36,1,0,0,91,0,1,0,5,4,45.9,0,1,0,0,0,0,0,1,0,0,1
1,1,1,1,1,1,23,0,0,1,19,1,1,1,3,1,9.4,0,1,1,0,1,0,0,1,0,1,0
1,1,1,1,1,1,21,1,0,1,22,1,1,1,3,6,11.3,0,1,0,1,1,0,1,1,0,0,1
1,15,1,1,2,2,36,0,0,1,32,1,1,0,4,1,15.7,0,1,1,0,1,0,0,1,0,0,0
1,37,1,1,2,2,59,1,0,1,34,0,1,0,4,2,17.2,0,3,0,1,0,0,0,1,0,0,1
1,3,1,1,1,1,30,1,0,1,22,1,0,1,3,4,10.9,0,2,1,0,1,0,0,1,0,1,1
1,5,1,0,3,2,33,0,0,1,52,0,0,0,5,1,26.2,0,1,0,1,0,0,0,0,0,0,1
1,0,1,1,1,1,21,0,0,1,13,1,1,1,3,2,6.5,0,1,1,0,1,0,1,1,0,1,0
1,0,1,1,1,1,20,0,0,0,24,1,0,1,3,1,12,0,2,1,0,1,0,1,1,0,0,1
1,7,1,0,2,2,30,1,0,0,32,1,1,1,4,4,16.2,0,1,0,0,1,0,0,0,0,0,1
1,13,1,1,2,2,45,1,0,1,41,1,1,1,3,2,20.3,0,2,0,0,1,0,0,1,0,0,1
1,7,0,0,1,1,28,0,0,0,20,0,0,1,3,3,10,0,2,0,0,0,0,0,0,0,0,1
1,5,1,0,4,3,26,0,0,0,116,1,0,0,5,2,57.7,0,2,0,0,0,0,0,0,0,0,1
1,5,1,0,1,1,24,1,0,1,19,0,0,0,4,2,9.4,0,1,0,0,1,0,1,0,0,0,1
1,6,1,1,2,2,28,0,0,0,34,0,0,0,4,1,16.9,0,1,0,1,0,0,0,0,0,0,1
1,0,1,1,1,1,19,0,0,1,14,1,1,1,2,1,7,0,3,1,0,1,0,1,1,0,1,1
1,1,1,1,2,1,25,0,0,1,25,0,1,0,4,1,12.8,0,1,0,1,1,0,0,1,0,0,1
1,3,1,1,1,1,22,0,0,1,18,0,0,0,3,2,8.8,0,1,1,1,1,0,0,0,0,0,1
1,0,1,1,1,1,19,0,0,1,13,1,0,1,2,1,6.3,0,1,1,0,1,0,1,1,0,1,1
1,2,1,1,1,1,32,1,0,1,21,1,1,0,5,6,10.6,0,1,1,1,1,0,1,1,0,0,1
1,0,1,1,1,1,19,1,0,0,15,1,0,0,2,7,7.4,0,1,0,1,1,0,0,1,0,0,1
1,10,1,1,2,2,42,1,0,1,46,0,1,1,4,4,22.6,0,3,1,0,1,0,0,1,0,0,1
1,0,1,0,2,1,21,0,0,1,26,8,0,0,3,3,12.9,0,1,1,0,1,0,0,1,0,0,1
1,3,1,1,2,1,40,0,0,1,25,1,0,0,2,1,12.4,0,1,1,0,1,0,0,1,0,0,1
1,10,1,1,1,1,37,0,0,0,20,1,1,1,2,1,10,0,1,1,1,1,0,0,1,0,0,1
1,19,1,0,1,1,38,0,0,0,19,0,0,0,4,1,9.4,0,1,0,0,0,0,0,0,0,0,1
1,12,0,1,3,3,34,1,0,1,66,1,0,1,2,4,32.7,0,3,1,0,1,0,0,1,0,0,1
1,2,1,1,1,1,22,0,0,1,21,0,1,0,3,2,10.3,0,1,0,1,1,0,0,1,0,0,1
1,0,1,0,2,2,20,1,0,0,37,0,0,0,3,6,18.6,0,2,0,1,0,0,0,0,0,0,1
1,2,1,1,2,2,25,0,0,1,38,9,1,1,4,3,18.9,0,1,1,0,1,1,0,1,0,0,1
1,2,1,0,2,2,21,1,0,1,34,1,1,1,3,4,17.2,0,1,0,0,1,0,1,1,0,0,1
1,11,1,1,2,1,44,0,0,1,26,1,1,1,1,1,12.3,0,1,1,0,1,0,1,1,0,0,1
1,5,1,1,2,2,28,0,0,1,37,0,1,0,4,1,18,0,1,1,0,1,0,1,1,0,0,1
1,12,1,0,2,2,47,0,0,0,37,0,0,1,2,1,18.5,0,1,1,0,1,0,1,1,0,0,1
1,0,1,0,1,1,18,0,0,0,24,1,0,1,2,2,12,0,1,1,1,1,0,1,1,0,0,0
1,0,1,1,1,1,19,0,0,1,15,1,1,0,2,3,7.3,0,1,1,0,1,0,0,1,0,0,1
1,9,1,1,2,2,36,0,0,1,44,0,1,1,3,1,22.7,0,1,0,0,1,0,0,1,0,0,1
1,0,1,1,3,2,23,0,0,1,55,1,0,1,4,3,27.8,0,1,1,1,1,0,1,1,0,0,1
1,23,0,1,1,1,49,1,0,0,24,0,1,0,3,3,11.6,0,1,0,1,0,0,0,0,0,0,1
1,33,1,1,1,1,59,1,0,1,23,1,1,1,2,2,11.9,0,1,1,1,1,0,1,1,0,0,0
1,19,1,1,1,1,38,1,0,1,23,1,1,0,3,6,11.6,0,1,1,1,1,0,1,1,0,0,1
1,0,1,1,2,1,36,0,0,1,25,0,1,0,4,2,12.5,0,1,0,0,1,0,0,1,0,1,0
1,6,1,1,1,1,28,0,0,1,23,0,1,1,2,1,11.4,0,1,1,0,1,0,1,1,0,0,1
1,4,1,1,1,1,25,0,0,1,14,0,1,1,3,1,6.9,0,1,1,0,1,1,0,1,0,0,1
1,22,0,0,2,2,42,0,0,1,35,1,0,1,4,1,17.2,0,1,1,0,1,0,1,1,0,0,1
1,0,0,0,1,1,24,0,0,0,22,1,0,1,4,1,11.4,0,3,0,0,0,0,0,1,0,0,1
1,0,0,0,4,3,31,1,0,0,82,0,0,1,4,6,41.5,0,1,0,0,0,0,1,0,0,0,1
1,2,1,1,1,1,30,1,0,1,18,1,1,1,5,3,9,0,1,1,1,1,0,1,1,0,0,1
1,8,1,0,2,1,31,1,0,0,26,1,0,0,4,5,13,0,2,0,0,1,0,1,1,0,0,1
1,0,1,1,2,2,24,1,0,1,30,0,1,0,4,4,15.1,0,2,1,0,1,0,0,1,0,0,1
1,1,1,1,1,1,20,0,0,1,15,9,1,1,2,5,7.4,0,1,1,0,1,0,1,0,1,0,1
1,0,1,1,2,2,33,0,0,1,40,1,1,1,4,1,18.8,0,1,1,0,1,0,0,1,0,0,1
1,14,1,1,1,1,35,1,0,1,20,1,1,1,4,2,10.4,0,1,0,0,1,0,0,1,0,0,1
1,1,1,0,1,1,24,0,0,0,16,1,0,1,1,1,8,0,2,1,1,1,0,1,1,0,0,0
1,0,0,1,2,1,18,1,0,1,25,0,1,0,2,4,12.3,0,1,1,0,1,0,1,1,0,0,1
1,6,1,1,2,1,27,0,0,0,25,0,0,1,3,1,13,0,1,0,0,1,0,0,1,0,0,1
1,2,1,1,1,1,46,0,0,1,23,1,1,1,3,5,11.8,0,2,1,0,1,0,1,1,1,1,1
1,1,1,1,1,1,24,0,0,1,18,1,1,0,3,1,8.9,0,3,0,0,1,0,1,1,1,1,1
1,1,1,0,2,2,21,0,0,0,36,1,0,1,3,1,18,0,3,1,0,1,0,1,1,0,0,0
1,0,1,1,4,3,31,0,0,1,85,1,1,0,4,5,43.8,0,1,0,0,1,0,0,1,0,0,1
1,0,1,1,2,1,21,1,0,1,27,1,0,0,3,4,13.5,0,1,0,0,1,0,0,1,0,0,1
1,6,0,1,1,1,25,1,0,1,15,1,1,1,1,3,7.6,0,3,1,1,1,0,1,1,0,0,1
1,3,1,1,1,1,25,0,0,1,24,0,1,0,4,4,11.6,0,1,0,1,1,0,0,0,0,0,1
1,4,0,1,2,2,31,0,0,1,37,0,0,0,3,2,18.2,0,1,0,0,0,0,0,0,0,0,1
1,0,1,1,2,1,19,0,0,0,27,0,1,0,2,2,13.3,0,1,0,0,1,0,0,0,0,0,1
1,0,1,1,1,1,21,1,0,0,17,1,0,1,3,2,8.7,0,1,0,1,1,0,1,0,0,0,1
1,0,1,1,1,1,21,0,0,1,24,0,0,1,3,1,11.8,0,1,1,0,1,1,1,1,0,1,1
1,0,1,1,1,1,25,1,0,1,23,1,0,0,2,2,11.3,0,1,1,0,1,0,1,1,0,0,1
1,34,1,0,2,2,58,0,0,1,31,0,1,0,3,2,15.1,0,1,1,1,1,0,0,1,0,0,1
1,0,1,1,1,1,24,1,0,0,23,0,0,1,4,6,11.9,0,1,0,0,0,0,0,0,0,1,1
1,5,1,1,2,2,24,1,0,0,32,1,0,1,4,5,15.8,0,1,1,0,1,0,1,1,0,0,1
1,9,1,0,4,3,32,0,0,1,93,1,1,1,5,1,48.2,0,1,1,0,1,0,1,1,0,0,1
1,14,1,1,3,3,37,0,0,0,62,0,0,0,5,1,30.4,0,1,0,1,0,0,0,0,0,0,1
1,0,0,1,1,1,25,1,0,1,22,1,0,1,2,7,10.6,0,1,1,0,1,0,1,1,0,0,1
1,4,1,1,4,3,33,0,0,1,82,1,0,0,4,3,41.4,0,3,0,0,1,0,1,1,0,0,1
1,4,1,0,1,1,24,0,0,0,21,1,0,1,2,1,10.5,0,2,1,0,0,0,0,1,0,0,1
1,2,1,1,1,1,21,0,0,1,16,1,1,1,3,1,7.9,0,3,1,0,1,0,1,1,0,1,1
1,7,1,1,2,1,31,1,0,1,25,0,0,0,4,3,12.3,0,3,0,1,0,0,1,1,0,0,1
1,6,1,1,1,1,36,0,0,0,20,1,0,1,2,1,10,0,1,1,0,1,0,0,1,0,0,1
1,19,0,0,2,2,51,1,0,0,40,1,0,0,4,2,19.5,0,1,0,1,1,0,0,1,0,0,1
1,12,1,0,2,2,38,0,0,0,31,1,0,1,2,1,15.3,0,2,1,0,1,0,1,1,0,0,1
1,1,1,1,4,3,26,0,0,1,81,0,1,1,5,1,40.8,0,1,0,0,1,0,0,1,0,0,1
1,3,1,1,1,1,22,0,0,1,21,9,1,1,4,1,11,0,1,1,0,1,0,0,1,0,0,1
1,15,1,1,2,1,63,1,0,1,26,1,1,0,3,2,13.2,0,2,0,0,1,0,0,1,0,0,1
1,3,1,1,4,3,27,1,0,1,75,0,1,0,5,4,37.4,0,1,1,0,1,0,0,1,0,0,1
1,0,1,1,1,1,20,0,0,1,20,1,1,1,3,2,10.1,0,3,1,0,1,1,1,1,0,0,1
1,5,1,1,2,1,28,1,0,1,28,1,1,0,5,4,14.5,0,1,1,0,1,0,0,1,0,0,1
1,0,1,1,1,1,23,0,0,1,11,1,1,1,4,1,5.6,0,1,1,0,1,1,1,1,1,1,1
1,12,1,1,1,1,39,0,0,0,23,0,1,0,4,4,11.1,0,1,1,1,1,0,0,0,0,0,1
1,27,0,0,2,2,48,1,0,1,32,0,1,0,2,2,15.3,0,1,1,1,1,0,0,1,0,0,1
1,4,0,0,1,1,24,1,0,1,20,1,0,1,3,4,10,0,1,1,1,1,0,1,1,0,1,1
1,22,1,1,2,1,47,0,0,1,30,1,1,0,4,1,14.7,0,1,1,0,1,0,0,1,0,0,1
1,4,1,1,1,1,24,1,0,1,23,1,1,1,3,3,11.2,0,1,0,1,0,0,0,1,0,0,1
1,2,1,1,1,1,27,1,0,1,22,0,1,0,5,4,11.2,0,1,1,0,1,0,0,1,0,0,1
1,0,0,0,1,1,22,1,0,0,14,1,0,1,3,2,6.9,0,3,1,0,0,1,0,1,0,1,0
1,0,1,1,1,1,19,1,0,1,18,0,1,0,2,5,8.9,0,1,0,0,1,0,0,1,0,0,1
1,1,1,1,2,2,20,0,0,0,33,0,0,1,3,1,16.3,0,1,0,0,1,0,0,1,0,0,1
1,0,1,1,4,3,49,0,0,1,109,1,1,1,2,1,54.1,0,1,1,0,1,0,1,1,0,0,1
1,6,1,1,2,2,31,0,0,0,30,1,1,1,4,1,15.1,0,1,1,0,1,1,1,1,0,0,1
1,11,1,1,4,3,41,1,0,0,96,0,1,0,5,5,48.1,0,5,0,0,0,0,0,0,0,0,1
1,0,1,1,2,1,19,0,0,1,25,1,1,1,2,1,12.7,0,3,0,0,1,1,1,1,0,0,1
1,12,1,1,3,2,32,1,0,0,53,1,0,1,4,4,26.4,0,1,1,0,0,0,1,1,0,0,1
1,2,1,1,2,2,30,0,0,0,42,0,0,1,5,1,21.5,0,3,0,0,0,0,0,0,0,1,1
1,16,1,0,4,3,44,0,0,0,86,0,1,0,5,1,43.4,0,2,0,0,1,0,0,0,0,0,1
1,0,1,1,2,1,19,0,0,0,26,1,0,1,2,1,13.2,0,1,1,0,1,0,0,1,0,0,1
1,1,1,0,1,1,20,0,0,1,21,1,1,1,2,1,10.7,0,1,1,1,1,0,1,1,0,1,1
1,3,1,0,1,1,26,0,0,0,24,1,0,1,2,4,12.1,0,2,0,0,1,0,1,0,0,1,0
1,12,1,1,4,3,48,0,0,1,123,1,0,1,3,1,60.8,0,1,1,0,1,0,1,1,0,0,1
1,2,1,1,1,1,21,0,0,1,12,0,1,1,3,1,5.8,0,1,1,0,1,0,1,1,0,0,1
1,4,1,0,1,1,26,1,0,0,23,1,0,1,5,5,11.1,0,1,1,0,1,0,0,0,0,0,1
1,24,1,1,1,1,64,0,0,1,24,1,0,0,1,1,12.1,0,4,1,1,1,0,1,1,0,0,1
1,17,1,1,2,2,40,0,0,1,31,1,1,0,5,1,15.6,0,1,0,0,1,0,0,1,0,0,1
1,0,1,0,1,1,18,0,0,0,17,1,0,1,1,1,8.6,0,2,1,0,1,1,1,1,0,1,1
1,4,1,0,2,1,35,1,0,0,29,1,0,0,3,5,14.2,0,1,0,1,1,0,1,0,0,0,1
1,7,1,0,1,1,27,0,0,0,17,1,0,0,4,1,8.4,0,1,0,0,1,0,0,1,0,0,1
1,20,0,0,1,1,47,1,0,0,23,1,0,1,1,4,11.3,0,1,0,0,1,0,1,0,0,0,1
1,5,1,1,3,2,26,0,0,1,59,1,1,1,5,1,29.7,0,1,0,0,1,0,0,1,0,0,1
1,0,1,1,2,1,19,0,0,0,25,1,1,1,2,1,12.1,0,1,1,0,1,0,1,1,0,0,1
1,0,1,0,1,1,21,1,0,0,24,0,1,0,3,3,11.6,0,1,1,1,0,0,1,1,0,0,1
1,4,1,0,1,1,32,1,0,0,23,8,0,0,3,4,11.7,0,3,0,1,0,0,1,1,0,0,1
1,0,1,1,1,1,18,0,0,1,18,1,1,1,2,1,9.1,0,2,1,1,1,0,0,1,0,0,1
1,2,1,1,2,1,27,0,0,1,25,1,1,1,3,1,12.4,0,1,1,0,1,0,0,1,0,0,1
1,0,1,1,1,1,23,0,0,1,17,0,1,1,4,1,8.6,0,3,1,0,1,0,1,1,1,1,1
1,0,1,1,3,3,56,1,0,0,68,1,0,1,3,2,33,0,1,1,0,1,0,1,1,0,0,1
1,9,1,1,1,1,41,1,0,1,22,0,0,0,1,3,11.4,0,1,1,1,1,0,1,1,0,0,1
